OBJECTID,agency_id,route_id,bus_direct,agency_sto,bus_headsi,stop_name_,bus_total_,bus_peak_p,stop_descr,project_st,project_de,system_typ,bus_headwa,min_headwa
3106,SF,43,1,SF-43-1,Fort Mason,17688,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3107,SF,44,0,SF-44-0,Bayview District,13178,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3108,SF,44,0,SF-44-0,Bayview District,13178,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3109,SF,44,0,SF-44-0,Bayview District,13181,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3110,SF,44,0,SF-44-0,Bayview District,13181,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3111,SF,44,0,SF-44-0,Bayview District,13185,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3112,SF,44,0,SF-44-0,Bayview District,13185,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3113,SF,44,0,SF-44-0,Bayview District,13188,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3114,SF,44,0,SF-44-0,Bayview District,13188,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3115,SF,44,0,SF-44-0,Bayview District,13202,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3116,SF,44,0,SF-44-0,Bayview District,13202,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3117,SF,44,0,SF-44-0,Bayview District,13213,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3118,SF,44,0,SF-44-0,Bayview District,13213,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3119,SF,44,0,SF-44-0,Bayview District,13215,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3120,SF,44,0,SF-44-0,Bayview District,13215,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3121,SF,44,0,SF-44-0,Bayview District,13216,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3122,SF,44,0,SF-44-0,Bayview District,13216,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3123,SF,44,0,SF-44-0,Bayview District,13218,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3124,SF,44,0,SF-44-0,Bayview District,13218,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3125,SF,44,0,SF-44-0,Bayview District,13825,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3126,SF,44,0,SF-44-0,Bayview District,13825,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3127,SF,44,0,SF-44-0,Bayview District,14550,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3128,SF,44,0,SF-44-0,Bayview District,14550,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3129,SF,44,0,SF-44-0,Bayview District,14550,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3130,SF,44,0,SF-44-0,Bayview District,14550,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3131,SF,44,0,SF-44-0,Bayview District,14550,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3132,SF,44,0,SF-44-0,Bayview District,14558,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3133,SF,44,0,SF-44-0,Bayview District,14558,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3134,SF,44,0,SF-44-0,Bayview District,14558,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3135,SF,44,0,SF-44-0,Bayview District,14558,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3136,SF,44,0,SF-44-0,Bayview District,14558,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3137,SF,44,0,SF-44-0,Bayview District,14772,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3138,SF,44,0,SF-44-0,Bayview District,14772,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3139,SF,44,0,SF-44-0,Bayview District,14853,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3140,SF,44,0,SF-44-0,Bayview District,14853,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3141,SF,44,0,SF-44-0,Bayview District,14878,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3142,SF,44,0,SF-44-0,Bayview District,14878,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3143,SF,44,0,SF-44-0,Bayview District,15041,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3144,SF,44,0,SF-44-0,Bayview District,15041,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3145,SF,44,0,SF-44-0,Bayview District,15041,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3146,SF,44,0,SF-44-0,Bayview District,15041,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3147,SF,44,0,SF-44-0,Bayview District,15041,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
